"representative","district","party"
"Edward J. Acevedo","2","D"
"Jaime M. Andrade Jr.","40","D"
"John D. Anthony","75","R"
"Luis Arroyo","3","D"
"Daniel V. Beiser","111","D"
"Patricia R. Bellock","47","R"
"Maria Antonia Berrios","39","D"
"Mike Bost","115","R"
"John E. Bradley","117","D"
"Dan Brady","105","R"
"Rich Brauer","87","R"
"Adam Brown","102","R"
"Daniel J. Burke","1","D"
"Kelly Burke","36","D"
"John M. Cabello","68","R"
"Kelly M. Cassidy","14","D"
"John D. Cavaletto","107","R"
"Linda Chapa LaVia","83","D"
"Katherine Cloonen","79","D"
"Deborah Conroy","46","D"
"Jerry F. Costello II","116","D"
"Fred Crespo","44","D"
"Tom Cross","97","R"
"Barbara Flynn Currie","25","D"
"John D'Amico","15","D"
"C.D. Davidsmeyer","100","R"
"Monique D. Davis","27","D"
"William Davis","30","D"
"Anthony DeLuca","80","D"
"Tom Demmer","90","R"
"Scott Drury","58","D"
"Kenneth Dunkin","5","D"
"Jim Durkin","82","R"
"Marcus C. Evans Jr.","33","D"
"Sara Feigenholtz","12","D"
"Laura Fine","17","D"
"Mary E. Flowers","31","D"
"La Shawn K. Ford","8","D"
"Mike Fortner","49","R"
"Jack D. Franks","63","D"
"Robyn Gabel","18","D"
"Esther Golar","6","D"
"Jehan A. Gordon-Booth","92","D"
"Brad E. Halbrook","110","R"
"Norine Hammond","93","R"
"Josh Harms","106","R"
"David Harris","53","R"
"Greg Harris","13","D"
"Kay Hatcher","50","R"
"Chad Hays","104","R"
"Elizabeth Hernandez","24","D"
"Jay Hoffman","113","D"
"Frances Ann Hurley","35","D"
"Jeanne M Ives","42","R"
"Eddie Lee Jackson Sr.","114","D"
"Naomi D. Jakobsson","103","D"
"Sheri L Jesiel","61","R"
"Thaddeus Jones","29","D"
"Dwight Kay","112","R"
"Stephanie A. Kifowit","84","D"
"Renée Kosel","37","R"
"Lou Lang","16","D"
"David R. Leitch","73","R"
"Camille Y. Lilly","78","D"
"Michael J. Madigan","22","D"
"Natalie A. Manley","98","D"
"Robert F. Martwick","19","D"
"Frank J. Mautino","76","D"
"Rita Mayfield","60","D"
"Emily McAsey","85","D"
"Michael P. McAuliffe","20","R"
"David McSweeney","52","R"
"Charles E. Meier","108","R"
"Bill Mitchell","101","R"
"Christian L. Mitchell","26","D"
"Anna Moeller","43","D"
"Donald L. Moffitt","74","R"
"Thomas Morrison","54","R"
"Martin J. Moylan","55","D"
"Michelle Mussman","56","D"
"Elaine Nekritz","57","D"
"Brandon W. Phelps","118","D"
"Sandra M. Pihos","48","R"
"Raymond Poe","99","R"
"Robert W. Pritchard","70","R"
"Dennis M. Reboletti","45","R"
"David Reis","109","R"
"Al Riley","38","D"
"Robert Rita","28","D"
"Wayne Rosenthal","95","R"
"Ron Sandack","81","R"
"Sue Scherer","96","D"
"Timothy L. Schmitz","65","R"
"Darlene J. Senger","41","R"
"Carol A. Sente","59","D"
"Elgie R. Sims Jr.","34","D"
"Mike Smiddy","71","D"
"Derrick Smith","10","D"
"Keith P. Sommer","88","R"
"Joe Sosnowski","69","R"
"Cynthia Soto","4","D"
"Brian W. Stewart","89","R"
"Ed Sullivan Jr.","51","R"
"Silvana Tabares","21","D"
"André M. Thapedi","32","D"
"Jil Tracy","94","R"
"Michael W. Tryon","66","R"
"Arthur Turner","9","D"
"Michael Unes","91","R"
"Patrick J. Verschoore","72","D"
"Lawrence M. Walsh Jr.","86","D"
"Emanuel Chris Welch","7","D"
"Barbara Wheeler","64","R"
"Ann Williams","11","D"
"Kathleen Willis","77","D"
"Sam Yingling","62","D"
"Michael J. Zalewski","23","D"
